USER,LOCATION,CREATED,TWEET,FAVCOUNT,COORDS,FOLLOWERS,sentiment
@Asly10Huertas,BOGOTA,2020-04-11 01:33:25,Es supremamente importante!,0,,288,0.951405684272603
@roespa1969,TUNJA,2020-04-11 01:33:26,"Los alcaldes de Boyacá de los municipios de quinta y sexta categoría, que son casi su totalidad, no han dudado en plasmar en una extensa carta al Presidente y a la Vicepresidenta de la República, su voz de protesta. . . . #Boyacá #Alcaldes #COVID19 #Duque",0,,589,0.042655505583434276
@ElsaNidiaRodrig,CALOTO,2020-04-11 01:33:29,Diagnosticado con cáncer hace más de un mes @petrogustavo ha tenido la templanza de seguir em detalle la realidad de la pandemia que nos azota aportando ideas para que las consecuencias del virus no vayan a ser devastadoras...  Grandeza propia del talante de un gran lider...,0,,1333,0.13867369711737898
@fercortes2010,COLOMBIA,2020-04-11 01:33:29,"Los servidores públicos y los particulares corruptos que aprovechan situaciones de emergencia -como ésta del covid19- para enriquecerse ilícitamente, merecen el más fuerte rechazo social. La ciudadanía debe ser inclemente en la denuncia y las autoridades implacables en la sanción",0,,203,0.021212450529808274
@Edwinvilapino10,AGUACHICA,2020-04-11 01:33:30,1 fav y subo el video de Camilo con Ñeco bailando:/,0,,532,0.694441551381412
@Leocarrillog,COLOMBIA,2020-04-11 01:33:30,Comparando números  Las 2 bombas atómicas arrojadas en Hiroshima y Nagasaki mataron 300.000 personas El Covid19 está llegando a 100.000 muertes,0,,211,0.19489326683869596
@RobyQuinto,COLOMBIA,2020-04-11 01:33:30,@ssangregorio5 De una!,0,,958,0.541333260777616
@garoide314,MEDELLIN,2020-04-11 01:33:32,"Petro, no le creemos nada  No encontró mejor escusa Pa no cumplir la cuarentena que victimizarse....",0,,159,0.000678924039992477
@ErikaJuSar96,MELGAR,2020-04-11 01:33:33,"La cuarentena también te enseña que quien de verdad está en tu vida, está, esté donde esté.",0,,187,0.45059155595524514
@leonard70607262,BOGOTA,2020-04-11 01:33:34,"Soy covid 19 positivo, me tomé el examen nuevamente porque ayer cumplía mi cuarentena de 14 días desde que me tomé mi primer examen y sigo estando positiva. 19 días después de que empecé con los sintomas. Este virus dura más de lo que se cree, cuidense mucho porfavor! 🙏🏽",0,,878,0.012900016494557277
@40yveinte60,BOGOTA,2020-04-11 01:33:35,@soy_la_inge Unas nalgadas 😝😈,0,,269,0.01587267398432222
@enzotamayo,BOGOTA,2020-04-11 01:33:35,"De lo poco que me agrada de esta cuarentena es que las parejas ya no se aguantan, comienzan a tirarse mierda y a sacar los trapos al sol hahahaha",0,,80,0.12580945966868626
@zoloyrry,BOGOTA,2020-04-11 01:33:37,Eso pasa cuando el ego manda sobre la razón y el corazón. Esperemos que los medios que andan alucinados con @ClaudiaLopez sean los veedores de estas irracionalidades. @NoticiasCaracol @NoticiasRCN @CaracolRadio,0,,891,0.06936649020946475
@wilromerol,MEDELLIN,2020-04-11 01:33:37,"Esto ni lo oye ni lo ve la Policía.  El radar y la fuerza, parece que solo les funciona con los estudiantes y otros ciudadanos indefensos",0,,3943,0.06234447396503
@egarciarosales,SINCELEJO,2020-04-11 01:33:37,#LAVATELASMANOS  #QuedateEnCasa  #CoronavirusColombia https://t.co/z4MEX9akt3,0,,1229,0.3573939275066913
@gazu1961,COLOMBIA,2020-04-11 01:33:39,@Caidadelatorre La avaricia,0,,1337,0.17993397412514378
@alcaldiapasto,PASTO,2020-04-11 01:33:38,"Declaración del Secretario de Salud del Municipio, Wilmer Muñoz, sobre la prueba de #Covid19 practicada al Alcalde @GERMANCHAMORRO1. https://t.co/3b1d1ynlCx",0,,20125,0.07321030356245248
@JuniorDiofa24,BARRANQUILLA,2020-04-11 01:33:39,Omg el final de temporada 8 de #GreysAnatomy me dejo traumado https://t.co/mljG9D9tBT,0,,512,0.27681479389724745
@QwertySebastian,BOGOTA,2020-04-11 01:33:39,Yo no sirvo para estar con una persona (que no sea pareja) todos los hijueputas días a todas horas. Lo confirmé esta cuarentena.,0,,132,0.010696030362820033
@alcaldiapasto,PASTO,2020-04-11 01:33:41,Pueba para #Covid19 practicada al Alcalde @GERMANCHAMORRO1 con resultado NEGATIVO (10 de marzo de 2020). https://t.co/2DVfo5S6Jg,0,,20125,0.05648139689978927
@JoceMartinex,CARTAGENA,2020-04-11 01:33:41,@JJVergaraDiaz Luis Ángel Díaz,0,,911,0.26930477792756025
@OzkarPaez,BOGOTA,2020-04-11 01:33:41,"Cuando se recupere, a la cárcel. Acá no aprenden a las buenas.",0,,3354,0.06357965725869673
@_witchblue,BOGOTA,2020-04-11 01:33:42,¿Tips para pilotear el encierro con gente no deseada?  26 días de cuarentena de no sé cuantos y empiezo a sentir deseos de matar :).,0,,227,0.005366146639308775
@JoseFBarriosG,COROZAL,2020-04-11 01:33:42,Las cifras oficiales dicen también que en el desastre de Chernóbil solo murieron 31 personas.,0,,317,0.007752308808007677
