Codigo Departamento,Codigo Municipio,Municipio,Total ,Cabeceras,Centros poblados y rural disperso
05,05308,GIRARDOTA,13.9,8.4,21.4
05,05310,GÓMEZ PLATA,34.1,22.1,46.9
05,05313,GRANADA,33.4,25.7,44.1
05,05315,GUADALUPE,41.1,23.7,52.1
05,05318,GUARNE,17.0,10.0,22.0
05,05321,GUATAPÉ,11.4,8.4,20.2
05,05347,HELICONIA,37.5,24.3,48.0
05,05353,HISPANIA,36.9,25.5,59.9
05,05360,ITAGÜÍ,10.9,9.5,23.3
05,05361,ITUANGO,57.6,33.7,70.6
05,05364,JARDÍN,28.5,14.3,44.3
05,05368,JERICÓ,25.8,19.2,36.4
05,05376,LA CEJA,11.5,9.6,24.2
05,05380,LA ESTRELLA,9.2,8.8,12.0
05,05390,LA PINTADA,31.2,29.6,43.0
05,05400,LA UNIÓN,23.0,14.8,35.5
05,05411,LIBORINA,43.3,20.8,52.1
05,05425,MACEO,36.0,23.8,44.4
05,05440,MARINILLA,15.4,12.0,25.0
05,05467,MONTEBELLO,39.5,17.6,48.0
05,05475,MURINDÓ,81.5,64.1,90.3
05,05480,MUTATÁ,57.8,41.6,68.4
05,05483,NARIÑO,51.8,28.3,62.8
05,05490,NECOCLÍ,62.7,33.1,73.0
05,05495,NECHÍ,61.5,56.8,67.0
05,05501,OLAYA,33.4,27.6,33.8
05,05541,PEÑOL,20.0,13.7,30.1
05,05543,PEQUE,53.5,30.3,63.0
05,05576,PUEBLORRICO,45.7,27.3,66.3
05,05579,PUERTO BERRÍO,32.1,29.1,51.1
05,05585,PUERTO NARE,33.1,28.2,35.3
05,05591,PUERTO TRIUNFO,29.3,28.5,29.5
05,05604,REMEDIOS,42.1,34.6,49.4
05,05607,RETIRO,11.7,8.3,16.6
05,05615,RIONEGRO,9.5,8.6,11.4
05,05628,SABANALARGA,52.8,34.2,63.5
05,05631,SABANETA,4.5,3.4,11.1
05,05642,SALGAR,49.7,27.3,62.8
05,05647,SAN ANDRÉS CUERQUÍA,48.5,28.6,63.3
05,05649,SAN CARLOS,30.5,26.8,34.2
05,05652,SAN FRANCISCO,46.4,34.0,57.1
05,05656,SAN JERÓNIMO,30.5,19.2,41.6
05,05658,SAN JOSÉ DE LA MONTAÑA,34.0,25.7,54.9
05,05659,SAN JUAN DE URABÁ,61.1,40.4,71.4
05,05660,SAN LUIS,32.4,22.2,47.6
05,05664,SAN PEDRO DE LOS MILAGROS,19.5,11.1,32.8
05,05665,SAN PEDRO DE URABÁ,62.3,40.6,76.8
05,05667,SAN RAFAEL,36.8,25.9,51.4
05,05670,SAN ROQUE,40.8,21.2,51.1
05,05674,SAN VICENTE FERRER,27.8,17.1,32.3
05,05679,SANTA BÁRBARA,28.1,19.0,36.0
05,05686,SANTA ROSA DE OSOS,30.9,17.9,46.2
05,05690,SANTO DOMINGO,41.5,23.7,47.5
05,05697,EL SANTUARIO,22.0,18.0,35.2
05,05736,SEGOVIA,42.8,37.3,67.1
05,05756,SONSÓN,37.9,24.6,51.1
05,05761,SOPETRÁN,28.7,18.8,37.5
05,05789,TÁMESIS,36.6,24.0,47.0
05,05790,TARAZÁ,53.5,46.6,62.0
05,05792,TARSO,42.6,32.9,55.5
05,05809,TITIRIBÍ,30.3,23.8,36.3
05,05819,TOLEDO,53.5,24.2,68.9
05,05837,TURBO,49.9,42.6,54.8
05,05842,URAMITA,55.6,39.8,62.5
05,05847,URRAO,46.1,31.2,63.4
05,05854,VALDIVIA,59.3,35.5,68.4
05,05856,VALPARAÍSO,25.9,16.8,39.0
05,05858,VEGACHÍ,41.0,32.6,58.8
05,05861,VENECIA,25.8,19.7,31.0
05,05873,VIGÍA DEL FUERTE,76.1,65.5,82.6
05,05885,YALÍ,44.0,26.5,60.8
05,05887,YARUMAL,33.8,26.6,53.4
05,05890,YOLOMBÓ,45.0,26.8,53.6
05,05893,YONDÓ,46.3,40.9,52.7
05,05895,ZARAGOZA,58.0,45.1,69.1
08,08001,BARRANQUILLA,17.4,17.4,55.7
08,08078,BARANOA,33.5,32.7,37.6
08,08137,CAMPO DE LA CRUZ,64.6,65.6,58.2
08,08141,CANDELARIA,52.0,52.0,52.1
08,08296,GALAPA,23.8,22.8,43.1
08,08372,JUAN DE ACOSTA,36.7,38.8,32.7
08,08421,LURUACO,55.4,50.5,60.4
08,08433,MALAMBO,30.0,29.1,44.1
08,08436,MANATÍ,48.4,47.0,61.7
08,08520,PALMAR DE VARELA,36.0,35.4,54.4
08,08549,PIOJÓ,45.2,42.9,47.4
08,08558,POLONUEVO,30.5,27.9,43.6
08,08560,PONEDERA,46.7,42.9,51.8
08,08573,PUERTO COLOMBIA,14.4,13.5,20.7
08,08606,REPELÓN,54.6,55.2,53.3
08,08634,SABANAGRANDE,31.9,30.6,59.8
08,08638,SABANALARGA,36.5,29.4,57.4
08,08675,SANTA LUCÍA,47.2,46.0,54.6
08,08685,SANTO TOMÁS,25.8,24.1,61.7
08,08758,SOLEDAD,18.6,18.5,81.7
08,08770,SUAN,43.8,43.3,55.6
08,08832,TUBARÁ,32.8,30.3,35.5
08,08849,USIACURÍ,32.7,31.1,58.4
11,11001,BOGOTÁ,9.0,8.9,31.5
13,13001,CARTAGENA DE INDIAS,19.9,18.1,36.8
13,13006,ACHÍ,62.4,47.6,67.0
13,13030,ALTOS DEL ROSARIO,70.7,69.2,71.8
13,13042,ARENAL,62.0,60.6,64.3
13,13052,ARJONA,47.4,46.9,49.6
13,13062,ARROYOHONDO,68.4,65.7,72.2
13,13074,BARRANCO DE LOBA,68.9,64.9,71.6
13,13140,CALAMAR,62.5,55.3,72.0
13,13160,CANTAGALLO,50.6,35.2,68.6
13,13188,CICUCO,61.3,59.3,65.2
13,13212,CÓRDOBA,61.9,67.4,59.7
13,13222,CLEMENCIA,63.0,61.2,73.2
13,13244,EL CARMEN DE BOLÍVAR,58.4,51.6,77.6
13,13248,EL GUAMO,59.5,59.4,59.7
13,13268,EL PEÑÓN,67.7,55.6,75.0
13,13300,HATILLO DE LOBA,73.8,65.2,77.0
13,13430,MAGANGUÉ,49.1,44.0,60.3
13,13433,MAHATES,54.3,59.3,51.0
13,13440,MARGARITA,65.6,53.2,68.0
13,13442,MARÍA LA BAJA,63.2,60.7,65.1
13,13458,MONTECRISTO,70.1,64.9,72.0
13,13468,SANTA CRUZ DE MOMPOX,49.1,33.6,65.6
13,13473,MORALES,57.6,47.7,62.2
13,13490,NOROSÍ,66.2,62.2,67.6
13,13549,PINILLOS,67.5,47.2,71.1
13,13580,REGIDOR,48.9,50.3,46.9
13,13600,RÍO VIEJO,57.3,47.0,69.5
13,13620,SAN CRISTÓBAL,49.9,53.8,37.0
13,13647,SAN ESTANISLAO,50.7,48.5,55.5
13,13650,SAN FERNANDO,64.3,40.9,69.9
13,13654,SAN JACINTO,60.3,57.8,78.0
13,13655,SAN JACINTO DEL CAUCA,66.7,62.5,68.4
13,13657,SAN JUAN NEPOMUCENO,56.2,54.0,62.8
13,13667,SAN MARTÍN DE LOBA,60.6,48.9,71.6
13,13670,SAN PABLO,54.0,50.3,66.3
13,13673,SANTA CATALINA,54.8,49.9,57.9
13,13683,SANTA ROSA,54.3,53.6,62.8
13,13688,SANTA ROSA DEL SUR,43.6,35.1,57.5
13,13744,SIMITÍ,54.8,46.5,59.7
13,13760,SOPLAVIENTO,39.4,38.9,77.3
13,13780,TALAIGUA NUEVO,50.7,41.7,58.6
13,13810,TIQUISIO,73.0,68.4,75.4
13,13836,TURBACO,30.4,28.4,57.8
13,13838,TURBANÁ,42.8,40.2,51.7
13,13873,VILLANUEVA,54.1,53.7,56.9
13,13894,ZAMBRANO,62.4,60.5,80.6
15,15001,TUNJA,11.4,10.2,37.2
15,15022,ALMEIDA,37.5,10.2,44.3
15,15047,AQUITANIA,33.5,24.0,40.2
15,15051,ARCABUCO,24.8,12.6,34.3
15,15087,BELÉN,25.2,16.9,38.1
15,15090,BERBEO,40.5,25.4,46.1
15,15092,BETÉITIVA,43.3,18.1,48.0
15,15097,BOAVITA,48.1,21.7,70.4
15,15104,BOYACÁ,39.7,26.8,42.0
15,15106,BRICEÑO,48.5,23.8,55.8
15,15109,BUENAVISTA,44.9,17.9,50.2
15,15114,BUSBANZÁ,31.3,25.6,36.0
15,15131,CALDAS,43.7,16.2,45.9
15,15135,CAMPOHERMOSO,52.3,18.4,63.0
15,15162,CERINZA,29.4,18.6,38.1
15,15172,CHINAVITA,41.1,18.9,56.4
15,15176,CHIQUINQUIRÁ,17.3,15.0,35.8
15,15180,CHISCAS,60.1,21.2,72.1
15,15183,CHITA,69.1,30.4,81.7
15,15185,CHITARAQUE,46.4,14.2,55.1
15,15187,CHIVATÁ,42.3,19.1,47.0
15,15189,CIÉNEGA,40.5,16.7,49.3
15,15204,CÓMBITA,36.1,19.1,38.8
15,15212,COPER,38.8,21.9,44.2
15,15215,CORRALES,26.6,20.3,37.2
15,15218,COVARACHÍA,55.6,11.9,65.0
15,15223,CUBARÁ,69.7,32.4,79.8
15,15224,CUCAITA,25.9,21.8,29.0
15,15226,CUÍTIVA,40.7,25.1,43.6
15,15232,CHÍQUIZA,51.3,29.3,53.1
15,15236,CHIVOR,45.8,16.2,63.1
15,15238,DUITAMA,10.5,9.4,19.3
15,15244,EL COCUY,49.4,28.5,74.2
15,15248,EL ESPINO,31.3,18.4,42.8
15,15272,FIRAVITOBA,21.7,10.0,28.9
15,15276,FLORESTA,43.9,24.3,54.7
15,15293,GACHANTIVÁ,51.2,21.4,58.8
15,15296,GÁMEZA,43.7,26.6,51.0
15,15299,GARAGOA,20.3,12.2,47.7
15,15317,GUACAMAYAS,30.4,18.7,36.3
15,15322,GUATEQUE,19.4,13.8,42.3
15,15325,GUAYATÁ,36.1,10.7,48.3
